GLOTTOCODE,longitude,latitude,LID,autotyp.language,glottolog.language.x,subarea,area,continent,continent.revised,area.revised,continent.change,area.change,glottolog.stock,ISO.g,glottolog.language.y
aiom1240,144.765,-5.13467,0,,Aiome,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Lower Sepik-Ramu [lowe1437],aki,Aiome [aiom1240][aki]
airo1242,138.158,-1.8522,0,,Airoran,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Kwerbic [kwer1242],air,Airoran [airo1242][air]
aito1238,92.3169,26.5145,0,,Aiton,,Indic,S/SE Asia,S/SE Asia,Indic,0,0,Tai-Kadai [taik1256],aio,Aiton [aito1238][aio]
ajab1235,1.67,6.94,3045,Aja (Benin),Aja (Benin),,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],ajg,Aja {Benin} [ajab1235][ajg]
ajas1235,25.67,7.33,866,Aja,Aja (Sudan),,African Savannah,Africa,Africa,African Savannah,0,0,Kresh-Aja [kres1240],aja,Aja {Sudan} [ajas1235][aja]
ajaw1236,9.89205,10.21,0,,Ajawa,,African Savannah,Africa,Africa,African Savannah,0,0,Afro-Asiatic [afro1255],ajw,Ajawa [ajaw1236][ajw]
ajie1238,165.5,-21.33,867,Ajie,Aji,,Oceania,NG and Oceania,NG and Oceania,Oceania,0,0,Austronesian [aust1307],aji,Ajië [ajie1238][aji]
ajyi1238,-74.6195,-9.82364,0,,Ajyninka Apurucayali,,NE South America,S America,S America,NE South America,0,0,Arawakan [araw1281],cpc,Ajyíninka Apurucayali [ajyi1238][cpc]
akaa1242,33.6524,11.2101,0,,Aka,,African Savannah,Africa,Africa,African Savannah,0,0,Eastern Jebel [east2386],soh,Aka [akaa1242][soh]
akab1248,92.8011,12.3629,0,,Aka-Bo,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Great Andamanese [grea1241],akm,Aka-Bo [akab1248][akm]
akab1249,92.5,11.67,827,Aka-Biada,Aka-Bea,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Great Andamanese [grea1241],abj,Aka-Bea [akab1249][abj]
akac1240,93,13.5,829,Aka-Cari,Aka-Cari,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Great Andamanese [grea1241],aci,Aka-Cari [akac1240][aci]
akaj1239,92.9504,13.1525,0,,Aka-Jeru,,Southeast Asia,S/SE Asia,S/SE Asia,Southeast Asia,0,0,Great Andamanese [grea1241],akj,Aka-Jeru [akaj1239][akj]
