Language,ISO,Country
Djambarrpuyngu,djr,Australia
Djangun,djf,Australia
Djinang,dji,Australia
Djinba,djb,Australia
Djiwarli,djl,Australia
Dyaabugay,dyy,Australia
Dyangadi,dyn,Australia
Dyirbal,dbl,Australia
Flinders Island,fln,Australia
Gamilaraay,kld,Australia
Gangulu,gnl,Australia
Gugadj,ggd,Australia
Gugu Badhun,gdc,Australia
Gugu Warra,wrw,Australia
Gugubera,kkp,Australia
Guguyimidjir,kky,Australia
Gumatj,gnn,Australia
Gungabula,gyf,Australia
Gunya,gyy,Australia
Gupapuyngu,guf,Australia
Gurdjar,gdj,Australia
Gureng Gureng,gnr,Australia
Gurinji,gue,Australia
Guwamu,gwu,Australia
Guyani,gvy,Australia
Jarnango,jay,Australia
Jaru,ddj,Australia
Kala Lagaw Ya,mwp,Australia
Kalarko,kba,Australia
Kalkutung,ktg,Australia
Kanju,kbe,Australia
Karadjeri,gbd,Australia
Kariyarra,vka,Australia
Kaytetye,gbb,Australia
Kokata,ktd,Australia
Kukatja,kux,Australia
Kuku-Mangk,xmq,Australia
Kuku-Mu'inh,xmp,Australia
Kuku-Muminh,xmh,Australia
Kuku-Ugbanh,ugb,Australia
Kuku-Uwanh,uwa,Australia
Kuku-Yalanji,gvn,Australia
Kumbainggar,kgs,Australia
Kunggara,kvs,Australia
Kunggari,kgl,Australia
Kunjen,kjn,Australia
Kurrama,vku,Australia
Kuthant,xut,Australia
Kuuku-Ya'u,kuy,Australia
Lamu-Lamu,lby,Australia
Lardil,lbz,Australia
Leningitij,lnj,Australia
Malgana,vml,Australia
Mandandanyi,zmk,Australia
Mangala,mem,Australia
Margany,zmc,Australia
Martu Wangka,mpj,Australia
Martuyhunira,vma,Australia
Mayaguduna,xmy,Australia
Maykulan,mnt,Australia
Mbabaram,vmb,Australia
Mbara,mvl,Australia
Mbariman-Gudhinma,zmv,Australia
Mudbura,mwd,Australia
Muluridyi,vmu,Australia
Muruwari,zmu,Australia
Narrinyeri,nay,Australia
Narungga,nnr,Australia
Ngaanyatjarra,ntj,Australia
Ngadjunmaya,nju,Australia
Ngamini,nmv,Australia
Nganyaywana,nyx,Australia
Ngarinman,nbj,Australia
Ngarla,nlr,Australia
Ngarluma,nrl,Australia
Ngawun,nxn,Australia
Ngura,nbx,Australia
Nhuwala,nhf,Australia
Nijadali,nad,Australia
Nugunu,nnv,Australia
Nyamal,nly,Australia
Nyangumarta,nna,Australia
Nyawaygi,nyt,Australia
Nyunga,nys,Australia
Pakanha,pkn,Australia
Panytyima,pnw,Australia
Pini,pii,Australia
Pinigura,pnv,Australia
Pintiini,pti,Australia
Pintupi-Luritja,piu,Australia
Pirlatapa,bxi,Australia
Pitjantjatjara,pjt,Australia
Pitta Pitta,pit,Australia
Ritarungo,rit,Australia
Thayore,thd,Australia
Thaypan,typ,Australia
Thurawal,tbh,Australia
Tjurruru,tju,Australia
Umbindhamu,umd,Australia
Umbuygamu,umg,Australia
Umpila,ump,Australia
Uradhi,urf,Australia
Wadjigu,wdu,Australia
Wagaya,wga,Australia
Wajarri,wbv,Australia
Wakawaka,wkw,Australia
Walmajarri,wmt,Australia
Wamin,wmi,Australia
Wangaaybuwan-Ngiyambaa,wyb,Australia
Wanggamala,wnm,Australia
Wangganguru,wgg,Australia
Wanman,wbt,Australia
Wariyangga,wri,Australia
Warlmanpa,wrl,Australia
Warlpiri,wbp,Australia
Warluwara,wrb,Australia
Warrgamay,wgy,Australia
Warumungu,wrm,Australia
Warungu,wrg,Australia
Wik-Epa,wie,Australia
Wik-Iiyanh,wij,Australia
Wik-Keyangan,wif,Australia
Wik-Me'anha,wih,Australia
Wik-Mungkan,wim,Australia
Wik-Ngathana,wig,Australia
Wikalkan,wik,Australia
Wikngenchera,wua,Australia
Wiradhuri,wrh,Australia
Wirangu,wiw,Australia
Worimi,kda,Australia
Wuliwuli,wlu,Australia
Yalarnnga,ylr,Australia
Yandruwandha,ynd,Australia
Yankunytjatjara,kdd,Australia
Yanyuwa,jao,Australia
Yawarawarga,yww,Australia
Yidiny,yii,Australia
Yindjibarndi,yij,Australia
Yindjilandji,yil,Australia
Yinggarda,yia,Australia
Yir Yoront,yiy,Australia
Yugambal,yub,Australia
Murrinh-Patha,mwf,Australia
Nangikurrunggurr,nam,Australia
Tiwi,tiw,Australia
Ngurmbur,nrx,Australia
Umbugarla,umr,Australia
Wageman,waq,Australia
Ami,amy,Australia
Manda,zma,Australia
Maranunggu,zmr,Australia
Maridan,zmd,Australia
Maridjabin,zmj,Australia
Marimanindji,zmm,Australia
Maringarr,zmt,Australia
Marithiel,mfr,Australia
Mariyedi,zmy,Australia
Marti Ke,zmg,Australia
Gambera,gma,Australia
Kwini,gww,Australia
Miwa,vmi,Australia
Ngarinyin,ung,Australia
Wilawila,wil,Australia
Worora,unp,Australia
Wunambal,wub,Australia
Dagoman,dgn,Australia
Wardaman,wrr,Australia
Yangman,jng,Australia
Big River,No Code,Australia
Little Swanport,No Code,Australia
Oyster Bay,No Code,Australia
Ben Lomond,No Code,Australia
Cape Portland,No Code,Australia
Piper River,No Code,Australia
Ainu,ain,Japan
Alutor,alr,Russia
Chukot,ckt,Russia
Itelmen,itl,Russia
Kerek,krk,Russia
Koryak,kpy,Russia
Gilyak ~ Nivkh,niv,Russia
Even,eve,Russia
Evenki,evn,Russia
Nanai,gld,Russia
Negidal,neg,Russia
Oroch,oac,Russia
Orok,oaa,Russia
Udihe,ude,Russia
Ulcha,ulc,Russia
Dolgan,dlg,Russia
Tofa (Karagas),kim,Russia
Khanty,kca,Russia
Mansi,mns,Russia
Nenets (Forest),No code,Russia
Nenets (Tundra),yrk,Russia
Nganasan,nio,Russia
Selkup,sel,Russia
Ket,ket,Russia
Kott,No code,Russia
Yugh,yuu,Russia
Yukaghir (Kolyma),yux,Russia
Yukagir (Tundra),ykg,Russia
"Abnaki, Eastern",aaq,
"Abnaki, Western",abe,
Algonquin,alq,
Arapaho,arp,
Atikamekw,atj,
Blackfoot,bla,
Carolina Algonquian,crr,
Cheyenne,chy,
Chippewa (Red Lake and Pillager),ciw,
Cree (Moose),crm,
Cree (Plains),crk,
Cree (Swampy),csw,
Cree (Woods),cwd,
East Cree (Northern),crl,
East Cree (Southern),crj,
"Fox, Mesquakie",sac,
Gros Ventre,ats,
"Illinois, Miami",mia,
